src_node_id,dst_node_id,importance_weight,importance_norm
0,0,5,1.00
0,1,5,1.00
0,9,5,1.00
0,27,5,1.00
0,28,4,0.75
0,22,4,0.75
0,10,4,0.75
0,12,3,0.50
1,0,5,1.00
1,9,5,1.00
1,22,5,1.00
1,23,5,1.00
1,28,4,0.75
1,6,4,0.75
1,7,3,0.50
1,21,3,0.50
2,3,5,1.00
2,4,5,1.00
2,5,4,0.75
2,31,4,0.75
2,32,3,0.50
2,33,4,0.75
2,21,4,0.75
2,12,3,0.50
3,0,5,1.00
3,1,5,1.00
3,36,5,1.00
3,38,5,1.00
3,39,4,0.75
3,6,4,0.75
3,7,3,0.50
3,21,3,0.50
4,0,4,0.75
4,5,5,1.00
4,31,5,1.00
4,33,4,0.75
4,34,3,0.50
4,21,4,0.75
4,12,3,0.50
5,6,5,1.00
5,7,5,1.00
5,8,5,1.00
5,40,4,0.75
5,21,4,0.75
5,0,3,0.50
5,1,3,0.50
6,1,5,1.00
6,10,5,1.00
6,24,4,0.75
6,25,4,0.75
6,26,5,1.00
6,27,4,0.75
6,12,4,0.75
7,0,5,1.00
7,9,5,1.00
7,22,5,1.00
7,23,5,1.00
7,28,5,1.00
7,29,5,1.00
7,27,5,1.00
7,12,3,0.50
8,0,4,0.75
8,3,5,1.00
8,21,4,0.75
8,31,4,0.75
8,12,3,0.50
8,14,3,0.50
9,6,5,1.00
9,46,5,1.00
9,47,4,0.75
9,8,4,0.75
9,48,5,1.00
9,49,5,1.00
9,12,4,0.75
10,0,5,1.00
10,1,4,0.75
10,9,5,1.00
10,27,5,1.00
10,10,4,0.75
10,12,4,0.75
10,14,3,0.50
11,3,5,1.00
11,4,5,1.00
11,42,4,0.75
11,31,4,0.75
11,12,3,0.50
11,14,3,0.50
12,0,5,1.00
12,9,5,1.00
12,22,5,1.00
12,23,4,0.75
12,28,4,0.75
12,30,3,0.50
12,12,3,0.50
13,0,5,1.00
13,1,5,1.00
13,36,5,1.00
13,38,4,0.75
13,39,4,0.75
13,21,3,0.50
14,0,4,0.75
14,3,5,1.00
14,21,5,1.00
14,49,4,0.75
14,12,4,0.75
14,13,3,0.50
15,0,4,0.75
15,6,5,1.00
15,7,5,1.00
15,8,4,0.75
15,40,4,0.75
15,21,4,0.75
16,1,5,1.00
16,10,5,1.00
16,24,5,1.00
16,25,4,0.75
16,12,4,0.75
16,14,4,0.75
17,0,5,1.00
17,9,4,0.75
17,30,5,1.00
17,22,4,0.75
17,23,4,0.75
17,28,4,0.75
17,12,3,0.50
18,0,5,1.00
18,9,5,1.00
18,29,5,1.00
18,22,4,0.75
18,23,4,0.75
18,12,3,0.50
19,6,5,1.00
19,7,5,1.00
19,8,5,1.00
19,40,5,1.00
19,21,4,0.75
19,0,3,0.50
20,1,5,1.00
20,10,4,0.75
20,26,5,1.00
20,24,3,0.50
20,12,3,0.50
21,0,5,1.00
21,3,5,1.00
21,49,5,1.00
21,48,5,1.00
21,13,4,0.75
21,12,4,0.75
22,0,5,1.00
22,1,5,1.00
22,36,5,1.00
22,38,5,1.00
22,39,5,1.00
22,6,4,0.75
22,21,3,0.50
23,49,5,1.00
23,48,5,1.00
23,0,4,0.75
23,3,4,0.75
23,12,4,0.75
23,13,3,0.50
24,0,5,1.00
24,9,4,0.75
24,7,5,1.00
24,8,4,0.75
24,6,5,1.00
24,21,4,0.75
25,0,4,0.75
25,3,5,1.00
25,4,4,0.75
25,31,5,1.00
25,32,3,0.50
25,21,4,0.75
26,0,5,1.00
26,1,4,0.75
26,9,5,1.00
26,27,5,1.00
26,10,4,0.75
26,12,4,0.75
27,0,4,0.75
27,3,5,1.00
27,5,4,0.75
27,31,4,0.75
27,21,4,0.75
28,0,4,0.75
28,6,5,1.00
28,7,4,0.75
28,40,5,1.00
28,21,4,0.75
28,12,4,0.75
29,1,5,1.00
29,24,5,1.00
29,25,5,1.00
29,10,4,0.75
29,26,4,0.75
29,12,3,0.50
30,0,5,1.00
30,9,5,1.00
30,22,5,1.00
30,23,5,1.00
30,28,5,1.00
30,27,5,1.00
30,12,3,0.50
31,6,5,1.00
31,7,5,1.00
31,8,5,1.00
31,46,4,0.75
31,40,4,0.75
31,21,4,0.75
32,0,5,1.00
32,1,5,1.00
32,27,5,1.00
32,9,4,0.75
32,10,5,1.00
32,26,4,0.75
33,3,5,1.00
33,42,4,0.75
33,4,4,0.75
33,31,4,0.75
33,21,3,0.50
34,0,4,0.75
34,6,5,1.00
34,46,4,0.75
34,49,4,0.75
34,12,4,0.75
35,0,5,1.00
35,1,5,1.00
35,36,5,1.00
35,38,5,1.00
35,39,5,1.00
35,6,4,0.75
36,0,5,1.00
36,9,5,1.00
36,28,5,1.00
36,22,5,1.00
36,23,5,1.00
36,30,4,0.75
36,12,3,0.50
37,33,5,1.00
37,34,4,0.75
37,35,4,0.75
37,1,5,1.00
37,39,4,0.75
38,0,5,1.00
38,3,5,1.00
38,21,5,1.00
38,49,4,0.75
38,13,5,1.00
38,12,4,0.75
39,41,5,1.00
39,3,4,0.75
39,0,3,0.50
39,21,4,0.75
39,12,4,0.75
40,0,5,1.00
40,1,5,1.00
40,36,5,1.00
40,38,5,1.00
40,39,4,0.75
40,6,3,0.50
41,0,5,1.00
41,3,5,1.00
41,21,4,0.75
41,49,4,0.75
41,12,4,0.75
42,0,5,1.00
42,9,5,1.00
42,22,5,1.00
42,23,5,1.00
42,28,5,1.00
42,12,3,0.50
43,6,5,1.00
43,46,5,1.00
43,47,4,0.75
43,49,5,1.00
43,12,4,0.75
43,13,3,0.50
44,9,5,1.00
44,0,5,1.00
44,1,4,0.75
44,10,4,0.75
44,27,5,1.00
44,13,5,1.00
44,12,5,1.00
45,0,4,0.75
45,40,5,1.00
45,41,5,1.00
45,21,4,0.75
46,0,4,0.75
46,3,5,1.00
46,21,3,0.50
46,12,3,0.50
47,11,5,1.00
47,13,5,1.00
47,12,5,1.00
47,17,4,0.75
47,0,3,0.50
48,0,5,1.00
48,9,4,0.75
48,22,5,1.00
48,23,4,0.75
48,28,4,0.75
48,12,3,0.50
49,11,5,1.00
49,17,5,1.00
49,12,5,1.00
49,13,4,0.75
49,0,3,0.50
