src_node_id,dst_node_id,proficiency_level,proficiency_norm
0,0,5,1.00
0,1,4,0.75
0,9,5,1.00
0,10,4,0.75
0,22,4,0.75
0,27,5,1.00
0,28,4,0.75
0,12,4,0.75
0,14,4,0.75
1,0,4,0.75
1,3,5,1.00
1,21,4,0.75
1,31,4,0.75
1,12,3,0.50
1,14,4,0.75
1,15,3,0.50
2,0,5,1.00
2,9,5,1.00
2,22,5,1.00
2,23,4,0.75
2,28,4,0.75
2,1,4,0.75
2,6,3,0.50
3,1,5,1.00
3,10,4,0.75
3,24,4,0.75
3,25,3,0.50
3,26,5,1.00
3,12,3,0.50
3,14,3,0.50
4,0,5,1.00
4,1,5,1.00
4,36,5,1.00
4,37,4,0.75
4,38,5,1.00
4,39,5,1.00
4,7,4,0.75
4,21,4,0.75
5,0,4,0.75
5,3,5,1.00
5,4,4,0.75
5,5,4,0.75
5,31,4,0.75
5,32,3,0.50
5,21,4,0.75
6,0,3,0.50
6,3,4,0.75
6,5,5,1.00
6,31,5,1.00
6,33,4,0.75
6,34,3,0.50
6,21,4,0.75
7,6,5,1.00
7,7,5,1.00
7,8,5,1.00
7,40,4,0.75
7,41,3,0.50
7,21,4,0.75
7,1,3,0.50
8,11,5,1.00
8,17,5,1.00
8,12,5,1.00
8,13,5,1.00
8,16,4,0.75
8,14,4,0.75
8,15,5,1.00
9,3,5,1.00
9,4,5,1.00
9,42,4,0.75
9,31,4,0.75
9,21,3,0.50
9,12,3,0.50
10,0,4,0.75
10,1,5,1.00
10,36,4,0.75
10,38,4,0.75
10,39,4,0.75
10,6,3,0.50
10,21,4,0.75
11,0,5,1.00
11,9,5,1.00
11,22,5,1.00
11,23,5,1.00
11,28,5,1.00
11,29,5,1.00
11,27,5,1.00
12,1,4,0.75
12,10,5,1.00
12,24,4,0.75
12,25,4,0.75
12,26,5,1.00
12,12,4,0.75
12,14,4,0.75
13,0,4,0.75
13,9,5,1.00
13,22,4,0.75
13,23,5,1.00
13,6,3,0.50
13,21,4,0.75
14,6,5,1.00
14,46,5,1.00
14,47,4,0.75
14,8,4,0.75
14,48,5,1.00
14,49,5,1.00
14,7,4,0.75
15,41,5,1.00
15,3,4,0.75
15,0,3,0.50
15,1,3,0.50
15,12,4,0.75
15,14,4,0.75
16,33,5,1.00
16,34,4,0.75
16,35,4,0.75
16,1,5,1.00
16,39,4,0.75
16,38,3,0.50
17,0,3,0.50
17,3,3,0.50
17,21,3,0.50
17,1,2,0.25
17,12,2,0.25
17,14,3,0.50
18,0,5,1.00
18,3,5,1.00
18,21,5,1.00
18,49,5,1.00
18,13,5,1.00
18,11,4,0.75
18,12,5,1.00
19,0,5,1.00
19,1,5,1.00
19,9,5,1.00
19,27,5,1.00
19,28,4,0.75
19,22,4,0.75
19,12,4,0.75
20,0,3,0.50
20,3,4,0.75
20,21,3,0.50
20,31,3,0.50
20,12,3,0.50
21,1,5,1.00
21,10,4,0.75
21,38,5,1.00
21,39,4,0.75
21,0,4,0.75
21,36,3,0.50
22,6,5,1.00
22,7,4,0.75
22,8,4,0.75
22,40,5,1.00
22,21,4,0.75
22,0,3,0.50
23,0,4,0.75
23,9,4,0.75
23,22,4,0.75
23,28,4,0.75
23,1,3,0.50
23,12,3,0.50
24,6,5,1.00
24,46,4,0.75
24,47,5,1.00
24,49,5,1.00
24,48,4,0.75
24,12,4,0.75
25,3,5,1.00
25,42,4,0.75
25,4,4,0.75
25,31,4,0.75
25,21,3,0.50
26,1,4,0.75
26,10,3,0.50
26,24,3,0.50
26,26,4,0.75
26,12,2,0.25
27,6,5,1.00
27,7,5,1.00
27,8,4,0.75
27,40,4,0.75
27,21,5,1.00
27,0,4,0.75
28,1,5,1.00
28,24,5,1.00
28,25,5,1.00
28,10,4,0.75
28,26,4,0.75
28,12,3,0.50
29,0,4,0.75
29,6,5,1.00
29,7,4,0.75
29,40,4,0.75
29,21,4,0.75
29,12,4,0.75
30,0,4,0.75
30,9,3,0.50
30,1,3,0.50
30,10,3,0.50
30,27,3,0.50
30,12,3,0.50
31,0,5,1.00
31,3,5,1.00
31,21,5,1.00
31,49,4,0.75
31,12,4,0.75
31,13,3,0.50
32,0,4,0.75
32,1,5,1.00
32,36,4,0.75
32,38,4,0.75
32,6,3,0.50
32,21,4,0.75
33,0,5,1.00
33,9,4,0.75
33,7,5,1.00
33,8,4,0.75
33,6,4,0.75
33,21,4,0.75
34,11,5,1.00
34,13,5,1.00
34,12,5,1.00
34,17,5,1.00
34,16,5,1.00
34,14,5,1.00
35,49,5,1.00
35,48,5,1.00
35,0,4,0.75
35,3,4,0.75
35,12,5,1.00
35,13,4,0.75
36,0,5,1.00
36,9,5,1.00
36,30,5,1.00
36,22,5,1.00
36,23,5,1.00
36,28,4,0.75
36,12,3,0.50
37,0,5,1.00
37,9,5,1.00
37,29,5,1.00
37,22,4,0.75
37,23,4,0.75
37,1,4,0.75
37,12,3,0.50
38,0,5,1.00
38,1,5,1.00
38,27,5,1.00
38,9,5,1.00
38,10,5,1.00
38,26,4,0.75
38,12,4,0.75
39,0,4,0.75
39,5,5,1.00
39,31,5,1.00
39,33,4,0.75
39,21,4,0.75
39,12,3,0.50
40,0,5,1.00
40,3,5,1.00
40,4,4,0.75
40,31,4,0.75
40,21,4,0.75
40,12,4,0.75
41,6,5,1.00
41,7,5,1.00
41,8,5,1.00
41,46,4,0.75
41,40,4,0.75
41,21,4,0.75
42,0,5,1.00
42,9,5,1.00
42,22,5,1.00
42,23,5,1.00
42,28,5,1.00
42,27,5,1.00
42,12,4,0.75
43,0,4,0.75
43,1,5,1.00
43,36,5,1.00
43,38,5,1.00
43,39,5,1.00
43,6,4,0.75
43,21,4,0.75
44,0,5,1.00
44,3,5,1.00
44,49,5,1.00
