engagement_id,job_key,user_key,date_key,time_on_page_seconds,max_scroll_depth_percent,is_bounce,did_click_apply
eng_001,1,1,20241202,145,85,false,false
eng_002,8,1,20241203,210,95,false,true
eng_003,9,2,20241203,95,65,false,false
eng_004,2,3,20241202,185,90,false,true
eng_005,7,4,20241202,120,75,false,true
eng_006,4,5,20241202,165,88,false,false
eng_007,23,5,20241204,110,72,false,false
eng_008,3,6,20241202,98,68,false,false
eng_009,5,7,20241202,105,70,false,false
eng_010,6,8,20241202,195,92,false,true
eng_011,12,10,20241202,125,78,false,false
eng_012,14,11,20241203,175,89,false,true
eng_013,8,12,20241202,205,94,false,false
eng_014,2,14,20241202,115,73,false,false
eng_015,13,14,20241203,180,91,false,true
eng_016,10,15,20241202,220,96,false,false
eng_017,38,17,20241202,135,80,false,false
eng_018,47,18,20241203,102,69,false,false
eng_019,1,20,20241202,188,90,false,false
eng_020,17,22,20241202,118,74,false,false
eng_021,2,24,20241202,128,77,false,false
eng_022,34,26,20241202,142,82,false,false
eng_023,16,28,20241202,198,93,false,false
eng_024,30,29,20241202,112,71,false,false
eng_025,4,33,20241202,155,84,false,false
eng_026,25,34,20241202,192,92,false,false
eng_027,24,36,20241202,122,76,false,false
eng_028,18,37,20241202,201,94,false,false
eng_029,19,38,20241202,215,95,false,true
eng_030,46,48,20241202,108,70,false,false
eng_031,47,46,20241202,95,67,false,false
eng_032,8,43,20241202,178,88,false,false
eng_033,23,44,20241202,131,79,false,false
