job_key,skill_key,importance_weight
1,1,5
1,2,5
1,10,5
1,28,5
1,29,4
1,23,4
1,11,4
1,13,3
2,1,5
2,10,5
2,23,5
2,24,5
2,29,4
2,7,4
2,8,3
2,22,3
3,4,5
3,5,5
3,6,4
3,32,4
3,33,3
3,34,4
3,22,4
3,13,3
4,1,5
4,2,5
4,37,5
4,39,5
4,40,4
4,7,4
4,8,3
4,22,3
5,1,4
5,6,5
5,32,5
5,34,4
5,35,3
5,22,4
5,13,3
6,7,5
6,8,5
6,9,5
6,41,4
6,22,4
6,1,3
6,2,3
7,2,5
7,11,5
7,25,4
7,26,4
7,27,5
7,28,4
7,13,4
8,1,5
8,10,5
8,23,5
8,24,5
8,29,5
8,30,5
8,28,5
8,13,3
9,1,4
9,4,5
9,22,4
9,32,4
9,13,3
9,15,3
10,7,5
10,47,5
10,48,4
10,9,4
10,49,5
10,50,5
10,13,4
11,1,5
11,2,4
11,10,5
11,28,5
11,11,4
11,13,4
11,15,3
12,4,5
12,5,5
12,43,4
12,32,4
12,13,3
12,15,3
13,1,5
13,10,5
13,23,5
13,24,4
13,29,4
13,31,3
13,13,3
14,1,5
14,2,5
14,37,5
14,39,4
14,40,4
14,22,3
15,1,4
15,4,5
15,22,5
15,50,4
15,13,4
15,14,3
16,1,4
16,7,5
16,8,5
16,9,4
16,41,4
16,22,4
17,2,5
17,11,5
17,25,5
17,26,4
17,13,4
17,15,4
18,1,5
18,10,4
18,31,5
18,23,4
18,24,4
18,29,4
18,13,3
19,1,5
19,10,5
19,30,5
19,23,4
19,24,4
19,13,3
20,7,5
20,8,5
20,9,5
20,41,5
20,22,4
20,1,3
21,2,5
21,11,4
21,27,5
21,25,3
21,13,3
22,1,5
22,4,5
22,50,5
22,49,5
22,14,4
22,13,4
23,1,5
23,2,5
23,37,5
23,39,5
23,40,5
23,7,4
23,22,3
24,50,5
24,49,5
24,1,4
24,4,4
24,13,4
24,14,3
25,1,5
25,10,4
25,8,5
25,9,4
25,7,5
25,22,4
26,1,4
26,4,5
26,5,4
26,32,5
26,33,3
26,22,4
27,1,5
27,2,4
27,10,5
27,28,5
27,11,4
27,13,4
28,1,4
28,4,5
28,6,4
28,32,4
28,22,4
29,1,4
29,7,5
29,8,4
29,41,5
29,22,4
29,13,4
30,2,5
30,25,5
30,26,5
30,11,4
30,27,4
30,13,3
31,1,5
31,10,5
31,23,5
31,24,5
31,29,5
31,28,5
31,13,3
32,7,5
32,8,5
32,9,5
32,47,4
32,41,4
32,22,4
33,1,5
33,2,5
33,28,5
33,10,4
33,11,5
33,27,4
34,4,5
34,43,4
34,5,4
34,32,4
34,22,3
35,1,4
35,7,5
35,47,4
35,50,4
35,13,4
36,1,5
36,2,5
36,37,5
36,39,5
36,40,5
36,7,4
37,1,5
37,10,5
37,29,5
37,23,5
37,24,5
37,31,4
37,13,3
38,34,5
38,35,4
38,36,4
38,2,5
38,40,4
39,1,5
39,4,5
39,22,5
39,50,4
39,14,5
39,13,4
40,42,5
40,4,4
40,1,3
40,22,4
40,13,4
41,1,5
41,2,5
41,37,5
41,39,5
41,40,4
41,7,3
42,1,5
42,4,5
42,22,4
42,50,4
42,13,4
43,1,5
43,10,5
43,23,5
43,24,5
43,29,5
43,13,3
44,7,5
44,47,5
44,48,4
44,50,5
44,13,4
44,14,3
45,10,5
45,1,5
45,2,4
45,11,4
45,28,5
45,14,5
45,13,5
46,1,4
46,41,5
46,42,5
46,22,4
47,1,4
47,4,5
47,22,3
47,13,3
48,12,5
48,14,5
48,13,5
48,18,4
48,1,3
49,1,5
49,10,4
49,23,5
49,24,4
49,29,4
49,13,3
50,12,5
50,18,5
50,13,5
50,14,4
50,1,3
