activity_id,user_key,job_key,date_key,time_key,activity_type,interaction_weight
act_001,1,1,20241202,140000,impression,0.1
act_002,1,1,20241202,140100,click,0.4
act_003,1,1,20241202,140200,view,0.7
act_004,1,2,20241202,141000,impression,0.1
act_005,1,2,20241202,141100,click,0.4
act_006,1,8,20241203,100000,impression,0.1
act_007,1,8,20241203,100100,click,0.4
act_008,1,8,20241203,100200,view,0.8
act_009,1,8,20241203,100500,apply,1.0
act_010,2,3,20241202,150000,impression,0.1
act_011,2,3,20241202,150100,click,0.4
act_012,2,9,20241203,110000,impression,0.1
act_013,2,9,20241203,110100,click,0.4
act_014,2,9,20241203,110200,view,0.7
act_015,3,2,20241202,160000,impression,0.1
act_016,3,2,20241202,160100,click,0.4
act_017,3,2,20241202,160200,view,0.8
act_018,3,2,20241203,130000,apply,1.0
act_019,3,13,20241204,140000,impression,0.1
act_020,3,13,20241204,140100,click,0.4
act_021,4,7,20241202,150000,impression,0.1
act_022,4,7,20241202,150100,click,0.4
act_023,4,7,20241202,150200,view,0.7
act_024,4,7,20241203,110000,apply,1.0
act_025,4,17,20241204,130000,impression,0.1
act_026,5,4,20241202,140000,impression,0.1
act_027,5,4,20241202,140100,click,0.4
act_028,5,4,20241202,140200,view,0.8
act_029,5,14,20241203,150000,impression,0.1
act_030,5,14,20241203,150100,click,0.4
act_031,5,23,20241204,130000,impression,0.1
act_032,5,23,20241204,130100,click,0.4
act_033,5,23,20241204,130200,view,0.7
act_034,6,3,20241202,160000,impression,0.1
act_035,6,3,20241202,160100,click,0.4
act_036,6,3,20241202,160200,view,0.7
act_037,6,26,20241203,140000,impression,0.1
act_038,6,26,20241203,140100,click,0.4
act_039,7,5,20241202,130000,impression,0.1
act_040,7,5,20241202,130100,click,0.4
act_041,7,5,20241202,130200,view,0.7
act_042,7,28,20241203,150000,impression,0.1
act_043,8,6,20241202,140000,impression,0.1
act_044,8,6,20241202,140100,click,0.4
act_045,8,6,20241202,140200,view,0.8
act_046,8,6,20241203,100000,apply,1.0
act_047,8,20,20241204,140000,impression,0.1
act_048,8,20,20241204,140100,click,0.4
act_049,9,15,20241202,150000,impression,0.1
act_050,9,15,20241202,150100,click,0.4
act_051,9,24,20241203,140000,impression,0.1
act_052,10,12,20241202,160000,impression,0.1
act_053,10,12,20241202,160100,click,0.4
act_054,10,12,20241202,160200,view,0.7
act_055,11,4,20241202,130000,impression,0.1
act_056,11,4,20241202,130100,click,0.4
act_057,11,14,20241203,140000,impression,0.1
act_058,11,14,20241203,140100,click,0.4
act_059,11,14,20241203,140200,view,0.8
act_060,11,14,20241204,100000,apply,1.0
act_061,12,8,20241202,140000,impression,0.1
act_062,12,8,20241202,140100,click,0.4
act_063,12,8,20241202,140200,view,0.8
act_064,12,31,20241203,150000,impression,0.1
act_065,13,7,20241202,160000,impression,0.1
act_066,13,7,20241202,160100,click,0.4
act_067,13,17,20241203,140000,impression,0.1
act_068,14,2,20241202,130000,impression,0.1
act_069,14,2,20241202,130100,click,0.4
act_070,14,2,20241202,130200,view,0.7
act_071,14,13,20241203,140000,impression,0.1
act_072,14,13,20241203,140100,click,0.4
act_073,14,13,20241203,140200,view,0.8
act_074,14,13,20241204,110000,apply,1.0
act_075,15,10,20241202,140000,impression,0.1
act_076,15,10,20241202,140100,click,0.4
act_077,15,10,20241202,140200,view,0.8
act_078,16,40,20241202,150000,impression,0.1
act_079,16,40,20241202,150100,click,0.4
act_080,17,38,20241202,130000,impression,0.1
act_081,17,38,20241202,130100,click,0.4
act_082,17,38,20241202,130200,view,0.7
act_083,18,9,20241202,160000,impression,0.1
act_084,18,9,20241202,160100,click,0.4
act_085,18,47,20241203,140000,impression,0.1
act_086,18,47,20241203,140100,click,0.4
act_087,18,47,20241203,140200,view,0.7
act_088,19,15,20241202,140000,impression,0.1
act_089,19,15,20241202,140100,click,0.4
act_090,19,39,20241203,150000,impression,0.1
act_091,20,1,20241202,160000,impression,0.1
act_092,20,1,20241202,160100,click,0.4
act_093,20,1,20241202,160200,view,0.8
act_094,20,11,20241203,140000,impression,0.1
act_095,21,9,20241202,130000,impression,0.1
act_096,21,9,20241202,130100,click,0.4
act_097,21,42,20241203,140000,impression,0.1
act_098,22,17,20241202,150000,impression,0.1
act_099,22,17,20241202,150100,click,0.4
act_100,22,17,20241202,150200,view,0.7
act_101,23,20,20241202,140000,impression,0.1
act_102,23,20,20241202,140100,click,0.4
act_103,24,2,20241202,160000,impression,0.1
act_104,24,2,20241202,160100,click,0.4
act_105,24,2,20241202,160200,view,0.7
act_106,24,43,20241203,130000,impression,0.1
act_107,25,10,20241202,140000,impression,0.1
act_108,25,10,20241202,140100,click,0.4
act_109,25,44,20241203,150000,impression,0.1
act_110,26,34,20241202,160000,impression,0.1
act_111,26,34,20241202,160100,click,0.4
act_112,26,34,20241202,160200,view,0.7
act_113,27,7,20241202,130000,impression,0.1
act_114,27,7,20241202,130100,click,0.4
act_115,27,21,20241203,140000,impression,0.1
act_116,28,16,20241202,140000,impression,0.1
act_117,28,16,20241202,140100,click,0.4
act_118,28,16,20241202,140200,view,0.8
act_119,29,30,20241202,150000,impression,0.1
act_120,29,30,20241202,150100,click,0.4
act_121,29,30,20241202,150200,view,0.7
act_122,30,29,20241202,160000,impression,0.1
act_123,30,29,20241202,160100,click,0.4
act_124,31,1,20241202,130000,impression,0.1
act_125,31,1,20241202,130100,click,0.4
act_126,31,11,20241203,140000,impression,0.1
act_127,32,15,20241202,140000,impression,0.1
act_128,32,15,20241202,140100,click,0.4
act_129,32,42,20241203,150000,impression,0.1
act_130,33,4,20241202,160000,impression,0.1
act_131,33,4,20241202,160100,click,0.4
act_132,33,4,20241202,160200,view,0.7
act_133,34,25,20241202,130000,impression,0.1
act_134,34,25,20241202,130100,click,0.4
act_135,34,25,20241202,130200,view,0.8
act_136,35,48,20241202,140000,impression,0.1
act_137,35,48,20241202,140100,click,0.4
act_138,36,24,20241202,150000,impression,0.1
act_139,36,24,20241202,150100,click,0.4
act_140,36,24,20241202,150200,view,0.7
act_141,37,18,20241202,160000,impression,0.1
act_142,37,18,20241202,160100,click,0.4
act_143,37,18,20241202,160200,view,0.8
act_144,37,37,20241203,140000,impression,0.1
act_145,38,19,20241202,130000,impression,0.1
act_146,38,19,20241202,130100,click,0.4
act_147,38,19,20241202,130200,view,0.8
act_148,38,19,20241203,100000,apply,1.0
act_149,39,33,20241202,140000,impression,0.1
act_150,39,33,20241202,140100,click,0.4
act_151,40,5,20241202,150000,impression,0.1
act_152,40,5,20241202,150100,click,0.4
act_153,40,28,20241203,140000,impression,0.1
act_154,41,3,20241202,160000,impression,0.1
act_155,41,3,20241202,160100,click,0.4
act_156,41,26,20241203,130000,impression,0.1
act_157,42,6,20241202,140000,impression,0.1
act_158,42,6,20241202,140100,click,0.4
act_159,42,32,20241203,150000,impression,0.1
act_160,43,8,20241202,160000,impression,0.1
act_161,43,8,20241202,160100,click,0.4
act_162,43,8,20241202,160200,view,0.8
act_163,44,23,20241202,130000,impression,0.1
act_164,44,23,20241202,130100,click,0.4
act_165,44,23,20241202,130200,view,0.7
act_166,45,22,20241202,140000,impression,0.1
act_167,45,22,20241202,140100,click,0.4
act_168,46,47,20241202,150000,impression,0.1
act_169,46,47,20241202,150100,click,0.4
act_170,46,47,20241202,150200,view,0.7
act_171,47,22,20241202,160000,impression,0.1
act_172,47,22,20241202,160100,click,0.4
act_173,48,46,20241202,130000,impression,0.1
act_174,48,46,20241202,130100,click,0.4
act_175,48,46,20241202,130200,view,0.7
act_176,49,35,20241202,140000,impression,0.1
