user_key,skill_key,proficiency_level
1,1,5
1,2,4
1,10,5
1,11,4
1,23,4
1,28,5
1,29,4
1,13,4
1,15,4
2,1,4
2,4,5
2,22,4
2,32,4
2,13,3
2,15,4
2,16,3
3,1,5
3,10,5
3,23,5
3,24,4
3,29,4
3,2,4
3,7,3
4,2,5
4,11,4
4,25,4
4,26,3
4,27,5
4,13,3
4,15,3
5,1,5
5,2,5
5,37,5
5,38,4
5,39,5
5,40,5
5,8,4
5,22,4
6,1,4
6,4,5
6,5,4
6,6,4
6,32,4
6,33,3
6,22,4
7,1,3
7,4,4
7,6,5
7,32,5
7,34,4
7,35,3
7,22,4
8,7,5
8,8,5
8,9,5
8,41,4
8,42,3
8,22,4
8,2,3
9,12,5
9,18,5
9,13,5
9,14,5
9,17,4
9,15,4
9,16,5
10,4,5
10,5,5
10,43,4
10,32,4
10,22,3
10,13,3
11,1,4
11,2,5
11,37,4
11,39,4
11,40,4
11,7,3
11,22,4
12,1,5
12,10,5
12,23,5
12,24,5
12,29,5
12,30,5
12,28,5
13,2,4
13,11,5
13,25,4
13,26,4
13,27,5
13,13,4
13,15,4
14,1,4
14,10,5
14,23,4
14,24,5
14,7,3
14,22,4
15,7,5
15,47,5
15,48,4
15,9,4
15,49,5
15,50,5
15,8,4
16,42,5
16,4,4
16,1,3
16,2,3
16,13,4
16,15,4
17,34,5
17,35,4
17,36,4
17,2,5
17,40,4
17,39,3
18,1,3
18,4,3
18,22,3
18,2,2
18,13,2
18,15,3
19,1,5
19,4,5
19,22,5
19,50,5
19,14,5
19,12,4
19,13,5
20,1,5
20,2,5
20,10,5
20,28,5
20,29,4
20,23,4
20,13,4
21,1,3
21,4,4
21,22,3
21,32,3
21,13,3
22,2,5
22,11,4
22,39,5
22,40,4
22,1,4
22,37,3
23,7,5
23,8,4
23,9,4
23,41,5
23,22,4
23,1,3
24,1,4
24,10,4
24,23,4
24,29,4
24,2,3
24,13,3
25,7,5
25,47,4
25,48,5
25,50,5
25,49,4
25,13,4
26,4,5
26,43,4
26,5,4
26,32,4
26,22,3
27,2,4
27,11,3
27,25,3
27,27,4
27,13,2
28,7,5
28,8,5
28,9,4
28,41,4
28,22,5
28,1,4
29,2,5
29,25,5
29,26,5
29,11,4
29,27,4
29,13,3
30,1,4
30,7,5
30,8,4
30,41,4
30,22,4
30,13,4
31,1,4
31,10,3
31,2,3
31,11,3
31,28,3
31,13,3
32,1,5
32,4,5
32,22,5
32,50,4
32,13,4
32,14,3
33,1,4
33,2,5
33,37,4
33,39,4
33,7,3
33,22,4
34,1,5
34,10,4
34,8,5
34,9,4
34,7,4
34,22,4
35,12,5
35,14,5
35,13,5
35,18,5
35,17,5
35,15,5
36,50,5
36,49,5
36,1,4
36,4,4
36,13,5
36,14,4
37,1,5
37,10,5
37,31,5
37,23,5
37,24,5
37,29,4
37,13,3
38,1,5
38,10,5
38,30,5
38,23,4
38,24,4
38,2,4
38,13,3
39,1,5
39,2,5
39,28,5
39,10,5
39,11,5
39,27,4
39,13,4
40,1,4
40,6,5
40,32,5
40,34,4
40,22,4
40,13,3
41,1,5
41,4,5
41,5,4
41,32,4
41,22,4
41,13,4
42,7,5
42,8,5
42,9,5
42,47,4
42,41,4
42,22,4
43,1,5
43,10,5
43,23,5
43,24,5
43,29,5
43,28,5
43,13,4
44,1,4
44,2,5
44,37,5
44,39,5
44,40,5
44,7,4
44,22,4
45,1,5
45,4,5
45,50,5
45,49,5
45,14,5
45,13,5
45,22,5
46,1,3
46,4,3
46,22,2
46,13,2
46,15,3
47,1,5
47,4,5
47,50,5
47,49,5
47,14,5
47,13,5
47,22,5
48,1,4
48,41,5
48,42,5
48,22,4
48,13,3
49,1,4
49,7,5
49,47,4
49,50,4
49,13,4
49,22,4
50,12,5
50,18,5
50,13,5
50,14,4
50,17,5
50,15,4
