node_id,industry_technology,industry_finance,industry_healthcare,industry_other,description_length_norm,num_required_skills,avg_skill_importance,seniority_junior,seniority_mid,seniority_senior
0,1,0,0,0,0.756,8,4.13,0,0,1
1,1,0,0,0,0.880,8,4.63,0,0,1
2,1,0,0,0,0.611,7,3.86,0,1,0
3,1,0,0,0,0.689,8,4.25,0,1,0
4,1,0,0,0,0.533,7,3.86,0,1,0
5,1,0,0,0,0.656,7,4.14,0,1,0
6,0,1,0,0,0.500,7,4.43,0,1,0
7,0,0,0,1,1.000,8,4.88,0,0,1
8,1,0,0,0,0.578,6,3.67,0,1,0
9,1,0,0,0,0.800,7,4.57,0,0,1
10,0,0,1,0,0.722,7,4.14,0,0,1
11,1,0,0,0,0.467,6,3.50,0,1,0
12,0,0,0,1,0.833,7,4.29,0,1,0
13,0,0,0,1,0.633,6,3.83,0,1,0
14,0,0,0,1,0.744,6,3.83,0,0,1
15,1,0,0,0,0.678,7,4.43,0,1,0
16,0,0,0,1,0.600,6,4.50,0,1,0
17,0,0,0,1,0.867,7,4.14,0,1,0
18,1,0,0,0,0.811,6,4.17,0,1,0
19,1,0,0,0,0.700,6,4.50,0,1,0
20,1,0,0,0,0.411,5,3.60,1,0,0
21,1,0,0,0,0.944,6,4.67,0,0,1
22,1,0,0,0,0.778,7,4.57,0,1,0
23,1,0,0,0,0.856,6,4.17,0,0,1
24,1,0,0,0,0.733,7,4.43,0,1,0
25,0,0,0,1,0.622,6,4.00,0,1,0
26,0,0,0,1,0.700,6,4.00,0,1,0
27,0,0,0,1,0.589,5,3.80,0,1,0
28,0,0,0,1,0.778,6,4.33,0,1,0
29,1,0,0,0,0.544,6,4.17,0,1,0
30,0,0,0,1,0.889,7,4.71,0,0,1
31,1,0,0,0,0.722,7,4.43,0,1,0
32,0,1,0,0,0.822,7,4.43,0,0,1
33,1,0,0,0,0.556,5,3.80,0,1,0
34,0,0,0,1,0.789,6,4.17,0,1,0
35,1,0,0,0,0.844,7,4.43,0,0,1
36,1,0,0,0,0.867,7,4.43,0,0,1
37,0,1,0,0,0.611,6,4.17,0,1,0
38,1,0,0,0,0.756,6,4.17,0,0,1
39,1,0,0,0,0.511,5,4.00,0,1,0
40,0,0,0,1,0.667,6,4.00,0,1,0
41,1,0,0,0,0.711,6,4.33,0,1,0
42,0,0,0,1,0.933,6,4.67,0,0,1
43,1,0,0,0,0.833,6,4.33,0,0,1
44,1,0,0,0,0.778,7,4.43,0,0,1
45,0,0,0,1,0.622,5,4.20,0,1,0
46,1,0,0,0,0.422,5,3.40,1,0,0
47,1,0,0,0,0.800,6,4.33,0,0,1
48,0,0,0,1,0.889,6,4.17,0,1,0
49,1,0,0,0,0.744,6,4.00,0,0,1
