node_id,skill_name,category_tech,category_soft_skill,category_language,popularity_user,popularity_job,avg_proficiency,avg_importance
0,Python,1,0,0,42,45,4.21,4.36
1,SQL,1,0,0,38,40,4.18,4.45
2,Java,1,0,0,2,0,4.00,0.00
3,JavaScript,1,0,0,12,8,4.42,4.50
4,React,1,0,0,8,6,4.38,4.33
5,Node.js,1,0,0,6,4,4.50,4.50
6,AWS,1,0,0,18,15,4.33,4.60
7,Docker,1,0,0,14,12,4.57,4.67
8,Kubernetes,1,0,0,12,10,4.50,4.60
9,Machine Learning,1,0,0,28,25,4.46,4.68
10,Data Analysis,1,0,0,22,18,4.18,4.39
11,Project Management,0,1,0,2,1,4.00,5.00
12,Communication,0,1,0,22,18,3.95,4.11
13,Leadership,0,1,0,6,5,4.50,4.60
14,Problem Solving,0,1,0,6,4,4.17,3.75
15,Teamwork,0,1,0,8,6,3.63,3.50
16,Time Management,0,1,0,2,0,4.50,0.00
17,Agile/Scrum,0,1,0,4,2,4.75,4.50
18,English,0,0,1,0,2,0.00,4.50
19,Spanish,0,0,1,0,0,0.00,0.00
20,Mandarin,0,0,1,0,0,0.00,0.00
21,Git,1,0,0,26,22,4.00,3.91
22,TensorFlow,1,0,0,14,12,4.57,4.75
23,PyTorch,1,0,0,16,14,4.50,4.64
24,Tableau,1,0,0,4,0,3.75,0.00
25,Power BI,1,0,0,6,4,4.50,5.00
26,Excel,1,0,0,6,4,4.33,4.50
27,Statistical Analysis,1,0,0,12,10,4.42,4.30
28,Deep Learning,1,0,0,18,16,4.56,4.75
29,NLP,1,0,0,12,10,4.50,4.60
30,Computer Vision,1,0,0,6,4,5.00,4.50
31,REST API,1,0,0,4,2,4.00,4.00
32,GraphQL,1,0,0,10,8,4.10,4.38
33,PostgreSQL,1,0,0,2,0,3.50,0.00
34,MongoDB,1,0,0,4,2,4.00,4.50
35,Redis,1,0,0,2,2,3.00,4.00
36,Spark,1,0,0,2,2,4.00,4.00
37,Hadoop,1,0,0,8,8,4.25,4.63
38,ETL,1,0,0,2,0,4.00,0.00
39,Data Warehousing,1,0,0,12,12,4.42,4.50
40,CI/CD,1,0,0,8,6,3.88,4.00
41,Testing,1,0,0,10,10,4.30,4.50
42,TypeScript,1,0,0,2,2,5.00,5.00
43,Go,1,0,0,2,2,4.00,4.00
44,Rust,1,0,0,0,0,0.00,0.00
45,C++,1,0,0,0,0,0.00,0.00
46,Azure,1,0,0,2,0,4.00,0.00
47,GCP,1,0,0,8,8,4.50,4.50
48,Microservices,1,0,0,0,2,0.00,4.00
49,System Design,1,0,0,10,10,4.70,4.70
