node_id,years_experience_norm,degree_bs,degree_ms,degree_phd,degree_mba,role_data,role_engineer,role_manager,role_other,num_skills,avg_proficiency
0,0.333,0,1,0,0,1,0,0,0,9,4.44
1,0.200,1,0,0,0,0,1,0,0,7,3.71
2,0.267,0,1,0,0,1,0,0,0,8,4.50
3,0.133,1,0,0,0,1,0,0,0,7,3.57
4,0.467,0,1,0,0,0,1,0,0,8,4.50
5,0.267,1,0,0,0,0,1,0,0,7,4.00
6,0.200,1,0,0,0,0,1,0,0,7,4.00
7,0.333,1,0,0,0,0,1,0,0,7,4.57
8,0.400,0,0,0,1,0,0,1,0,7,4.57
9,0.133,1,0,0,0,0,1,0,0,6,3.50
10,0.267,0,1,0,0,0,1,0,0,7,3.86
11,0.533,0,0,1,0,1,0,0,0,7,5.00
12,0.200,1,0,0,0,1,0,0,0,7,4.43
13,0.200,0,1,0,0,0,1,0,0,6,4.33
14,0.600,1,0,0,0,0,1,0,0,7,4.43
15,0.267,1,0,0,0,0,1,0,0,6,3.83
16,0.400,1,0,0,0,0,0,0,1,6,3.83
17,0.067,1,0,0,0,0,1,0,0,5,2.60
18,0.667,0,1,0,0,0,1,0,0,7,4.86
19,0.267,0,0,1,0,1,0,0,0,7,4.71
20,0.133,1,0,0,0,0,1,0,0,5,3.20
21,0.200,0,1,0,0,1,0,0,0,6,4.17
22,0.333,1,0,0,0,0,1,0,0,6,4.33
23,0.267,0,1,0,0,0,1,0,0,6,3.83
24,0.533,1,0,0,0,0,1,0,0,6,4.50
25,0.200,1,0,0,0,0,1,0,0,5,3.80
26,0.067,1,0,0,0,1,0,0,0,5,3.20
27,0.400,0,1,0,0,0,1,0,0,6,4.50
28,0.267,1,0,0,0,1,0,0,0,6,4.17
29,0.467,0,1,0,0,0,1,0,0,6,4.17
30,0.067,0,1,0,0,1,0,0,0,6,3.17
31,0.533,1,0,0,0,0,1,0,0,6,4.50
32,0.200,1,0,0,0,0,1,0,0,6,4.17
33,0.267,0,1,0,0,0,1,0,0,6,4.33
34,0.800,0,1,0,0,0,0,1,0,6,5.00
35,0.733,0,1,0,0,0,1,0,0,6,4.50
36,0.333,0,0,1,0,0,1,0,0,6,4.67
37,0.267,0,1,0,0,0,1,0,0,6,4.50
38,0.400,0,0,1,0,1,0,0,0,7,4.71
39,0.267,1,0,0,0,0,1,0,0,6,4.17
40,0.333,1,0,0,0,0,1,0,0,6,4.50
41,0.467,1,0,0,0,0,1,0,0,7,4.71
42,0.400,0,0,1,0,1,0,0,0,6,5.00
43,0.333,0,1,0,0,0,1,0,0,7,4.71
44,0.867,0,1,0,0,0,1,0,0,7,5.00
45,0.000,0,1,0,0,0,1,0,0,5,2.60
46,1.000,1,0,0,0,0,1,0,0,7,5.00
47,0.267,1,0,0,0,0,1,0,0,5,3.80
48,0.333,0,1,0,0,0,1,0,0,6,4.33
49,0.467,0,0,0,1,0,0,1,0,6,4.50
