order_id,customer_id,order_date,amount,status,created_at,updated_at
1,103,2023-01-01 00:00:00,465.32,PROCESSING,2023-01-01 00:00:00,2023-01-01 00:00:00
2,436,2023-01-01 02:00:00,208.5,SHIPPED,2023-01-01 02:00:00,2023-01-01 02:00:00
3,861,2023-01-01 04:00:00,453.99,DELIVERED,2023-01-01 04:00:00,2023-01-01 04:00:00
4,271,2023-01-01 06:00:00,167.53,DELIVERED,2023-01-01 06:00:00,2023-01-01 06:00:00
5,107,2023-01-01 08:00:00,243.45,PENDING,2023-01-01 08:00:00,2023-01-01 08:00:00
6,72,2023-01-01 10:00:00,120.75,PROCESSING,2023-01-01 10:00:00,2023-01-01 10:00:00
7,701,2023-01-01 12:00:00,323.83,DELIVERED,2023-01-01 12:00:00,2023-01-01 12:00:00
8,21,2023-01-01 14:00:00,489.7,SHIPPED,2023-01-01 14:00:00,2023-01-01 14:00:00
9,615,2023-01-01 16:00:00,305.71,DELIVERED,2023-01-01 16:00:00,2023-01-01 16:00:00
10,122,2023-01-01 18:00:00,185.33,CANCELLED,2023-01-01 18:00:00,2023-01-01 18:00:00
11,467,2023-01-01 20:00:00,327.43,SHIPPED,2023-01-01 20:00:00,2023-01-01 20:00:00
12,215,2023-01-01 22:00:00,70.23,SHIPPED,2023-01-01 22:00:00,2023-01-01 22:00:00
13,331,2023-01-02 00:00:00,445.44,DELIVERED,2023-01-02 00:00:00,2023-01-02 00:00:00
14,459,2023-01-02 02:00:00,256.51,PENDING,2023-01-02 02:00:00,2023-01-02 02:00:00
15,88,2023-01-02 04:00:00,230.18,SHIPPED,2023-01-02 04:00:00,2023-01-02 04:00:00
16,373,2023-01-02 06:00:00,297.07,CANCELLED,2023-01-02 06:00:00,2023-01-02 06:00:00
17,100,2023-01-02 08:00:00,316.14,PENDING,2023-01-02 08:00:00,2023-01-02 08:00:00
18,872,2023-01-02 10:00:00,45.17,PENDING,2023-01-02 10:00:00,2023-01-02 10:00:00
19,664,2023-01-02 12:00:00,344.48,PENDING,2023-01-02 12:00:00,2023-01-02 12:00:00
20,131,2023-01-02 14:00:00,128.55,SHIPPED,2023-01-02 14:00:00,2023-01-02 14:00:00
21,662,2023-01-02 16:00:00,359.84,PENDING,2023-01-02 16:00:00,2023-01-02 16:00:00
22,309,2023-01-02 18:00:00,413.04,DELIVERED,2023-01-02 18:00:00,2023-01-02 18:00:00
23,770,2023-01-02 20:00:00,403.94,PENDING,2023-01-02 20:00:00,2023-01-02 20:00:00
24,344,2023-01-02 22:00:00,280.73,CANCELLED,2023-01-02 22:00:00,2023-01-02 22:00:00
25,492,2023-01-03 00:00:00,264.88,PROCESSING,2023-01-03 00:00:00,2023-01-03 00:00:00
26,414,2023-01-03 02:00:00,80.01,CANCELLED,2023-01-03 02:00:00,2023-01-03 02:00:00
27,806,2023-01-03 04:00:00,389.92,SHIPPED,2023-01-03 04:00:00,2023-01-03 04:00:00
28,386,2023-01-03 06:00:00,142.99,PENDING,2023-01-03 06:00:00,2023-01-03 06:00:00
29,192,2023-01-03 08:00:00,253.38,PENDING,2023-01-03 08:00:00,2023-01-03 08:00:00
30,956,2023-01-03 10:00:00,149.29,DELIVERED,2023-01-03 10:00:00,2023-01-03 10:00:00
31,277,2023-01-03 12:00:00,75.58,PENDING,2023-01-03 12:00:00,2023-01-03 12:00:00
