job_day_sk,datekey,job_id,view_count,userview_count,total_view_duration_sec,max_view_duration_sec,avg_user_max_view_duration_sec,start_step1_count,start_step2_count,start_step3_count,completed_apply_count,drop_step1_count,drop_step2_count,drop_step3_count,bounce_count,deepread_noapply_count,created_at,updated_at
1,20251201,101,187,146,21599,483,210.0,140,84,71,14,47,56,13,15,41,2025-12-22 09:00:00,2025-12-22 09:00:00
2,20251201,102,153,119,26928,800,320.0,125,98,88,44,28,27,10,9,25,2025-12-22 09:00:00,2025-12-22 09:00:00
3,20251201,103,221,172,7293,126,60.0,144,127,119,24,77,17,8,99,13,2025-12-22 09:00:00,2025-12-22 09:00:00
4,20251201,104,119,93,11781,414,180.0,95,78,70,36,24,17,8,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
5,20251201,105,136,106,11220,345,150.0,75,60,55,15,61,15,5,16,11,2025-12-22 09:00:00,2025-12-22 09:00:00
6,20251201,106,170,133,28050,750,300.0,136,112,101,53,34,24,11,12,31,2025-12-22 09:00:00,2025-12-22 09:00:00
7,20251201,107,102,80,10659,437,190.0,84,71,51,19,18,13,20,9,9,2025-12-22 09:00:00,2025-12-22 09:00:00
8,20251201,108,144,112,17424,506,220.0,104,81,73,29,40,23,8,22,26,2025-12-22 09:00:00,2025-12-22 09:00:00
9,20251201,109,76,59,8360,460,200.0,61,52,48,27,15,9,4,6,9,2025-12-22 09:00:00,2025-12-22 09:00:00
10,20251201,110,128,100,9856,322,140.0,87,70,63,24,41,17,7,36,13,2025-12-22 09:00:00,2025-12-22 09:00:00
11,20251202,101,190,148,21945,483,210.0,142,85,72,14,48,57,13,15,42,2025-12-22 09:00:00,2025-12-22 09:00:00
12,20251202,102,156,122,27456,800,320.0,128,100,90,45,28,28,10,9,25,2025-12-22 09:00:00,2025-12-22 09:00:00
13,20251202,103,225,176,7425,126,60.0,146,128,120,24,79,18,8,101,14,2025-12-22 09:00:00,2025-12-22 09:00:00
14,20251202,104,121,94,11979,414,180.0,97,80,72,37,24,17,8,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
15,20251202,105,138,108,11385,345,150.0,76,61,56,15,62,15,5,17,11,2025-12-22 09:00:00,2025-12-22 09:00:00
16,20251202,106,173,135,28545,750,300.0,138,113,102,53,35,25,11,12,32,2025-12-22 09:00:00,2025-12-22 09:00:00
17,20251202,107,104,81,10868,437,190.0,85,71,51,19,19,14,20,9,10,2025-12-22 09:00:00,2025-12-22 09:00:00
18,20251202,108,147,115,17787,506,220.0,106,83,75,30,41,23,8,22,26,2025-12-22 09:00:00,2025-12-22 09:00:00
19,20251202,109,78,61,8580,460,200.0,62,53,49,28,16,9,4,6,10,2025-12-22 09:00:00,2025-12-22 09:00:00
20,20251202,110,130,101,10010,322,140.0,88,70,63,24,42,18,7,36,13,2025-12-22 09:00:00,2025-12-22 09:00:00
21,20251203,101,194,151,22407,483,210.0,146,88,75,15,48,58,13,16,42,2025-12-22 09:00:00,2025-12-22 09:00:00
22,20251203,102,158,123,27808,800,320.0,130,101,91,46,28,29,10,9,25,2025-12-22 09:00:00,2025-12-22 09:00:00
23,20251203,103,229,179,7557,126,60.0,149,131,123,25,80,18,8,103,14,2025-12-22 09:00:00,2025-12-22 09:00:00
24,20251203,104,123,96,12177,414,180.0,98,80,72,37,25,18,8,12,12,2025-12-22 09:00:00,2025-12-22 09:00:00
25,20251203,105,141,110,11632,345,150.0,78,62,57,15,63,16,5,17,11,2025-12-22 09:00:00,2025-12-22 09:00:00
26,20251203,106,176,137,29040,750,300.0,141,116,104,54,35,25,12,12,32,2025-12-22 09:00:00,2025-12-22 09:00:00
27,20251203,107,106,83,11077,437,190.0,87,73,53,20,19,14,20,10,10,2025-12-22 09:00:00,2025-12-22 09:00:00
28,20251203,108,150,117,18150,506,220.0,108,84,76,30,42,24,8,22,27,2025-12-22 09:00:00,2025-12-22 09:00:00
29,20251203,109,79,62,8690,460,200.0,63,54,50,28,16,9,4,6,10,2025-12-22 09:00:00,2025-12-22 09:00:00
30,20251203,110,132,103,10164,322,140.0,90,72,65,25,42,18,7,37,13,2025-12-22 09:00:00,2025-12-22 09:00:00
31,20251204,101,197,154,22754,483,210.0,148,89,76,15,49,59,13,16,43,2025-12-22 09:00:00,2025-12-22 09:00:00
32,20251204,102,161,126,28336,800,320.0,132,103,93,46,29,29,10,10,26,2025-12-22 09:00:00,2025-12-22 09:00:00
